PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,BuildingAge,distance_center,nb_use_types,Electricity,SteamUse,NaturalGas,Buildings Consumption,Neighborhood Consumption
Hotel,DOWNTOWN,1.0,11,83008,0,27.0,5758795.0,False,Compliant,176.14,97,1.9374602971966932,1,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,6,63712,1496,1.0,4573777.0,False,Compliant,151.12,113,2.27745881062906,1,True,True,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
K-12 School,SOUTHEAST,1.0,2,56228,0,95.0,1539478.5,True,Error - Correct Default Data,38.53,62,10.089198023075197,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Hotel,NORTHEAST,1.0,6,88592,30586,84.0,3663534.5,False,Compliant,90.01,22,4.251564997591449,2,True,False,True,medium electricity consuming buildings,Neighborhood with medium electricity consumption
Other,DOWNTOWN,1.0,2,67224,0,,1310236.625,False,Compliant,9.13,93,2.1446847827652236,1,True,False,False,low electricity consumption buildings,Neighborhood with high electricity consumption
K-12 School,Central,1.0,1,126351,0,,0.0,False,Missing Data,0.0,68,4.931021557417813,1,False,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Hotel,DOWNTOWN,1.0,5,68410,16200,57.0,4456714.5,False,Compliant,128.44,45,0.945306685702493,1,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,2,51582,0,,0.0,False,Missing Data,10.43,34,0.7270678771585359,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,LAKE UNION,1.0,3,87262,0,,4145920.5,False,Compliant,157.77,117,3.286121504778382,4,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Hotel,NORTHEAST,1.0,4,81871,0,29.0,6668568.5,False,Compliant,215.0,29,6.176153514132874,1,True,False,True,medium electricity consuming buildings,Neighborhood with medium electricity consumption
Self-Storage Facility,NORTHEAST,1.0,2,110356,0,,318364.8125,False,Compliant,3.93,68,6.45183266981727,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,2,54986,0,97.0,1650279.25,False,Compliant,31.47,33,4.990747494489228,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,BALLARD,1.0,2,94900,0,57.0,6186461.5,False,Compliant,130.56,62,4.708531714818018,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,52554,0,83.0,2951331.25,False,Compliant,83.86,123,4.92185809086843,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Self-Storage Facility,DOWNTOWN,1.0,3,70586,0,,2158629.0,False,Compliant,45.43,112,0.4870730468744515,3,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Other,DOWNTOWN,1.0,2,57428,0,,1247362.0,False,Compliant,33.26,103,1.4881910617223408,4,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,8,59400,0,14.0,5071974.0,False,Compliant,35.36,113,1.4661361267893531,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Hotel,DOWNTOWN,1.0,20,98634,10043,71.0,4841347.5,False,Compliant,59.19,93,1.8015543091231832,3,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Hotel,DOWNTOWN,1.0,7,71150,0,98.0,5348309.0,False,Compliant,134.38,38,1.1514883990510953,4,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Hotel,LAKE UNION,1.0,5,113173,42546,86.0,5284343.5,False,Compliant,144.79,64,0.63659333749,2,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Hotel,LAKE UNION,1.0,7,150453,34735,84.0,6715187.0,False,Compliant,199.95,23,0.7892939177740732,1,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Hotel,LAKE UNION,1.0,6,116300,28200,80.0,5827595.5,False,Compliant,162.39,26,0.7437734331120328,1,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Hotel,MAGNOLIA / QUEEN ANNE,1.0,6,155602,36744,81.0,6836900.0,False,Compliant,152.76,25,1.0802900689721462,1,True,False,True,medium electricity consuming buildings,Neighborhood with avery low electricity consumption
K-12 School,EAST,1.0,3,56072,0,76.0,3234787.75,False,Compliant,146.34,112,4.7224819560955344,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Hotel,MAGNOLIA / QUEEN ANNE,1.0,4,122942,44891,94.0,5337334.0,False,Compliant,171.64,24,0.62977597578356,2,True,False,True,medium electricity consuming buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,CENTRAL,1.0,2,54984,0,71.0,3375211.0,False,Compliant,87.98,61,4.54159772267039,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Hotel,LAKE UNION,1.0,6,84103,20732,74.0,3706100.25,False,Compliant,67.06,15,1.9696381167775006,2,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
K-12 School,SOUTHWEST,1.0,2,53352,0,,0.0,False,Missing Data,4.19,75,7.321136833647194,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Retail Store,LAKE UNION,1.0,2,58320,0,96.0,1049748.625,False,Compliant,39.06,94,1.3093483507209294,1,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Other,MAGNOLIA / QUEEN ANNE,1.0,2,52000,0,,2726369.0,False,Compliant,101.83,61,0.19472983298461335,1,True,True,False,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,MAGNOLIA / QUEEN ANNE,1.0,1,60696,0,,875943.3125,False,Compliant,6.11,95,0.19472983298461335,1,True,False,False,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,0.0,2,66240,2352,,4166306.25,False,Compliant,29.04,37,0.22656814803220607,5,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,76213,25930,68.0,3476212.5,False,Compliant,48.76,53,0.9583642209840706,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Hotel,MAGNOLIA / QUEEN ANNE,1.0,6,96910,36934,56.0,5155568.5,False,Compliant,152.14,21,0.8147726272862709,2,True,False,True,medium electricity consuming buildings,Neighborhood with avery low electricity consumption
Hotel,NORTHEAST,2.0,4,50017,0,53.0,5448975.0,False,Compliant,191.2,61,4.191962490884239,2,True,False,True,medium electricity consuming buildings,Neighborhood with medium electricity consumption
K-12 School,DELRIDGE,1.0,3,74468,0,,0.0,False,Missing Data,11.84,24,3.5472808449396713,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,EAST,1.0,3,67743,0,34.0,2646879.0,False,Compliant,78.85,100,4.624776674439447,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,SOUTHEAST,1.0,3,99433,35752,63.0,4897760.0,False,Compliant,34.14,20,5.833508598087722,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,SOUTHEAST,1.0,2,58933,0,,0.0,False,Missing Data,16.36,32,7.176993864964647,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,SOUTHEAST,1.0,3,59955,0,93.0,1633399.375,True,Error - Correct Default Data,20.48,34,9.111717289254255,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,2,93218,0,86.0,2887392.0,True,Error - Correct Default Data,84.75,59,1.37800876750329,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,NORTHEAST,1.0,4,56521,0,,6357632.0,False,Compliant,44.32,82,5.001331832175054,1,True,False,False,low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,NORTHEAST,1.0,2,206934,0,,4253577.5,False,Compliant,133.58,94,4.81802818172669,2,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
Hotel,NORTHWEST,1.0,4,51390,0,89.0,3611538.0,False,Compliant,127.29,22,6.571321684504943,2,True,False,True,medium electricity consuming buildings,Neighborhood with medium electricity consumption
K-12 School,NORTHWEST,1.0,2,131013,0,88.0,3894584.5,True,Error - Correct Default Data,124.92,60,6.164630780318087,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Hotel,NORTHWEST,1.0,3,69138,0,78.0,3242458.0,False,Compliant,89.02,21,6.260787089121303,1,True,False,True,medium electricity consuming buildings,Neighborhood with medium electricity consumption
K-12 School,LAKE UNION,1.0,3,66588,0,,0.0,False,Missing Data,14.67,32,1.990268299380913,1,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Hotel,DOWNTOWN,1.0,5,190980,0,98.0,6505995.0,False,Compliant,142.39,119,1.7452505640656852,2,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
K-12 School,Ballard,1.0,2,55513,0,93.0,1513570.75,True,Error - Correct Default Data,10.55,32,3.24822627267625,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,DOWNTOWN,1.0,4,72820,13820,,2010454.625,False,Compliant,46.26,113,3.3001718030094187,1,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
K-12 School,SOUTHEAST,1.0,4,289588,0,90.0,8819852.0,True,Error - Correct Default Data,170.84,33,6.80118206923643,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
University,EAST,1.0,3,63330,0,,3059758.0,False,Compliant,74.33,108,3.139974822543291,1,True,False,True,buildings with high electricity consumption,Neighborhood with avery low electricity consumption
Other,GREATER DUWAMISH,1.0,1,67356,0,,7475577.5,False,Compliant,204.08,73,3.504970230428526,4,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,SOUTHEAST,1.0,3,78804,0,92.0,2499140.0,True,Error - Correct Default Data,56.82,22,11.94746449595837,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,CENTRAL,1.0,3,66994,0,79.0,2371304.5,True,Error - Correct Default Data,41.74,21,6.575397283314349,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,GREATER DUWAMISH,1.0,3,98357,0,88.0,3456131.5,True,Error - Correct Default Data,94.64,23,8.69568164699891,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,54765,0,,4253369.5,False,Compliant,61.21,65,8.818217263409196,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,GREATER DUWAMISH,1.0,5,89821,0,,1950092.5,False,Compliant,100.46,14,8.85877631214913,3,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
University,MAGNOLIA / QUEEN ANNE,1.0,2,52611,0,,4116871.5,False,Compliant,104.26,43,2.202659472931385,1,True,False,True,buildings with high electricity consumption,Neighborhood with avery low electricity consumption
Residence Hall,MAGNOLIA / QUEEN ANNE,1.0,4,139600,37500,89.0,4448582.5,False,Compliant,129.39,22,2.3083695568849416,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,NORTHWEST,1.0,3,62526,0,96.0,1986094.875,True,Error - Correct Default Data,54.07,21,4.0885186496753425,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3,64015,0,21.0,3242077.75,False,Compliant,49.58,16,6.200559333448782,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Retail Store,NORTH,1.0,4,124342,0,76.0,8765978.0,False,Compliant,66.3,58,5.712941430857119,1,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,NORTHWEST,1.0,3,55442,0,72.0,3191228.25,False,Compliant,83.7,27,5.524205277989166,3,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,BALLARD,1.0,2,242795,0,80.0,9157150.0,True,Error - Correct Default Data,123.71,24,4.31844894820529,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Self-Storage Facility,EAST,1.0,5,84870,0,,1381590.125,False,Compliant,51.11,113,3.67525069582997,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,DELRIDGE,1.0,1,145341,0,75.0,5499097.0,True,Error - Correct Default Data,206.01,60,4.532377231480791,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Warehouse,GREATER DUWAMISH,1.0,4,114297,0,61.0,2100097.75,False,Compliant,69.44,119,5.399448377782043,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Retail Store,DELRIDGE,1.0,1,64984,0,72.0,2944296.25,False,Compliant,35.78,57,6.150980187234563,1,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,DELRIDGE,1.0,1,46797,0,86.0,2075891.0,True,Error - Correct Default Data,73.47,65,6.58126776783635,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,CENTRAL,1.0,3,136188,0,,0.0,False,Missing Data,170.9,60,5.261970820401655,1,False,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,BALLARD,1.0,3,56000,0,,1851260.5,False,Compliant,59.34,50,6.16714757715507,1,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,SOUTHEAST,1.0,2,67371,0,92.0,2128459.0,True,Error - Correct Default Data,46.36,19,9.38201128937856,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Self-Storage Facility,SOUTHWEST,1.0,2,52088,0,,1377519.5,False,Compliant,48.99,54,5.470608184892661,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,LAKE UNION,1.0,3,127776,0,75.0,4748137.0,True,Error - Correct Default Data,80.08,13,2.5035809391022967,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,2,50292,0,,430473.6875,False,Compliant,3.0,97,1.0356982543685664,4,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,BALLARD,1.0,2,67235,0,89.0,2284133.75,True,Error - Correct Default Data,49.12,24,4.525305672577465,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,SOUTHWEST,1.0,3,58118,0,97.0,1407277.25,True,Error - Correct Default Data,21.29,32,6.4606618782384935,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Hotel,NORTHWEST,1.0,4,64893,0,70.0,6197825.0,False,Compliant,208.26,55,5.587405682224539,1,True,False,True,medium electricity consuming buildings,Neighborhood with medium electricity consumption
K-12 School,NORTH,1.0,2,52792,0,,0.0,False,Missing Data,0.0,34,5.573067518405036,1,False,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,GREATER DUWAMISH,1.0,1,70762,0,87.0,3606416.0,True,Error - Correct Default Data,168.88,98,7.768146477324598,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,44558,0,78.0,1677002.25,False,Compliant,28.27,123,2.0211001039732523,3,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Warehouse,GREATER DUWAMISH,1.0,2,58640,0,,3928695.25,False,Compliant,27.39,58,3.7939816482587854,4,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Warehouse,GREATER DUWAMISH,0.0,4,79600,0,34.0,2411402.25,False,Compliant,16.81,107,2.8749161172977837,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,NORTH,1.0,6,419848,335109,,9134963.0,False,Compliant,162.41,15,5.5649738780020215,5,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,DELRIDGE,1.0,1,71714,0,87.0,2371358.0,True,Error - Correct Default Data,36.24,24,5.716330729783979,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Warehouse,LAKE UNION,1.0,3,75397,8161,91.0,549181.375,False,Compliant,9.63,32,1.9587214368020793,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
K-12 School,SOUTHWEST,1.0,2,208981,0,80.0,8164853.0,True,Error - Correct Default Data,207.79,21,4.685464996309956,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,EAST,1.0,6,51976,0,34.0,4189569.25,False,Compliant,145.31,114,2.4833747064586795,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,NORTHEAST,1.0,2,55653,0,98.0,1377627.0,False,Compliant,72.88,95,4.809558126409961,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Small- and Mid-Sized Office,NORTH,1.0,5,50759,0,62.0,3147042.0,False,Compliant,49.09,51,8.44082000332763,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,NORTHEAST,1.0,2,56772,0,46.0,2439484.75,False,Compliant,84.57,71,4.932415088010697,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Worship Facility,NORTHEAST,1.0,3,103000,0,42.0,4854429.5,False,Compliant,149.93,71,4.906157232732092,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,NORTHEAST,1.0,3,75174,0,77.0,2733846.0,True,Error - Correct Default Data,71.86,22,7.076673197684917,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,3,75214,0,88.0,2334260.0,True,Error - Correct Default Data,43.98,20,2.0983724402866293,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,SOUTHWEST,1.0,3,134918,0,91.0,3822102.5,True,Error - Correct Default Data,69.42,18,5.3382469856246715,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,CENTRAL,1.0,2,64414,0,67.0,2295176.5,True,Error - Correct Default Data,16.0,32,5.839172700249212,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
K-12 School,NORTHWEST,1.0,3,92437,0,78.0,4626443.0,True,Error - Correct Default Data,201.05,96,4.5222475301329155,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,DOWNTOWN,1.0,7,128766,0,,6057410.0,False,Compliant,57.21,109,2.0304903878251546,3,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,DELRIDGE,1.0,4,56617,0,15.0,1986611.375,False,Compliant,50.52,106,3.7192136033932424,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTH,1.0,6,56745,0,54.0,2473962.5,False,Compliant,59.63,14,8.816060243888648,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,GREATER DUWAMISH,1.0,4,67920,0,,2772124.75,False,Compliant,23.8,20,8.865691460250423,4,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,MAGNOLIA / QUEEN ANNE,1.0,1,76086,0,,3267564.0,False,Compliant,101.41,50,3.3527234187751076,1,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,56500,0,98.0,1380293.625,False,Compliant,44.22,109,1.928343774797561,2,True,True,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Warehouse,GREATER DUWAMISH,1.0,4,203504,0,72.0,3785282.5,False,Compliant,26.39,15,3.216467903158392,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,77662,18504,57.0,5007401.0,False,Compliant,68.19,42,0.25133513470518876,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,10,63409,7757,90.0,3444270.0,False,Compliant,170.51,97,1.5324209076550306,2,True,True,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,1.0,17,204790,30000,91.0,7739699.0,False,Compliant,100.26,93,1.6347512333670928,4,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,73399,0,61.0,3757006.0,False,Compliant,26.19,107,1.4021383117471473,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,7,89550,0,85.0,3903259.75,False,Compliant,51.67,123,2.1400548719858885,3,True,True,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,89355,0,66.0,4178233.5,False,Compliant,31.97,123,2.1404326414422705,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,91091,1392,,1835804.875,False,Compliant,46.56,73,1.8115281117269066,2,True,True,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,1.0,8,157941,62993,81.0,3743228.5,False,Compliant,26.1,55,1.727413722406412,2,True,False,False,medium electricity consuming buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,1.0,8,201480,0,91.0,8921778.0,False,Compliant,175.95,116,2.149707468976676,3,True,True,False,medium electricity consuming buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,1.0,7,114395,8296,99.0,2746560.75,False,Compliant,70.17,114,2.6705839422588027,1,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Retail Store,NORTHEAST,1.0,2,89200,0,83.0,6461937.0,False,Compliant,89.47,45,4.726467766990737,1,True,False,True,low electricity consumption buildings,Neighborhood with medium electricity consumption
Small- and Mid-Sized Office,NORTHEAST,0.0,5,99005,0,70.0,4728488.5,False,Compliant,119.03,62,4.417583681109343,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Large Office,NORTHEAST,1.0,6,135051,44248,88.0,4426136.0,False,Compliant,30.86,21,4.347334680323744,2,True,False,False,medium electricity consuming buildings,Neighborhood with medium electricity consumption
Large Office,NORTHEAST,1.0,5,220649,82720,93.0,7046345.5,False,Compliant,49.12,21,4.27748309194757,2,True,False,False,medium electricity consuming buildings,Neighborhood with medium electricity consumption
Self-Storage Facility,DOWNTOWN,1.0,5,93660,0,,873221.875,False,Compliant,6.09,59,1.9635304760124976,1,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mixed Use Property,DOWNTOWN,1.0,4,109347,38700,,8218155.5,False,Compliant,91.13,43,0.5619630260142794,3,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,1.0,3,192630,48512,94.0,5357833.0,False,Compliant,46.03,76,0.6503367138590829,2,True,False,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,50176,0,77.0,2933288.75,False,Compliant,24.91,123,2.2765123392023074,3,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Warehouse,GREATER DUWAMISH,1.0,1,128800,0,97.0,1809101.5,False,Compliant,78.92,46,5.262983162543632,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,GREATER DUWAMISH,0.0,1,88400,0,42.0,4383100.5,False,Compliant,116.03,53,8.256262266844042,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Warehouse,NORTHWEST,1.0,1,52311,0,96.0,930611.875,False,Compliant,48.65,63,6.428911941978293,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Other,LAKE UNION,1.0,5,141131,69710,,3085814.0,False,Compliant,21.51,14,2.174834291873127,5,True,False,False,low electricity consumption buildings,Neighborhood with high electricity consumption
Large Office,LAKE UNION,1.0,5,176532,70067,60.0,5803409.0,False,Compliant,40.46,22,2.2506604243097517,2,True,False,False,medium electricity consuming buildings,Neighborhood with high electricity consumption
Warehouse,BALLARD,1.0,1,52500,0,2.0,3989399.0,False,Compliant,70.47,50,3.0142844586834,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Warehouse,BALLARD,1.0,2,57300,0,55.0,4560492.0,False,Compliant,156.67,64,4.708531714818018,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Large Office,DOWNTOWN,1.0,10,135918,0,91.0,6423556.5,False,Compliant,193.72,65,1.825601359732415,1,True,True,False,medium electricity consuming buildings,Neighborhood with high electricity consumption
Retail Store,DOWNTOWN,1.0,4,79957,0,25.0,5252131.0,False,Compliant,36.61,109,1.6377072106957398,2,True,False,False,low electricity consumption buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,1.0,4,127268,0,71.0,7711757.5,True,Error - Correct Default Data,148.11,102,1.7126046769342265,3,True,True,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,0.0,10,132326,0,72.0,6029020.0,False,Compliant,65.2,97,1.6627580151994368,3,True,True,True,medium electricity consuming buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,1.0,6,109830,13200,45.0,7335905.5,False,Compliant,51.14,39,1.6972015986362214,4,True,False,False,medium electricity consuming buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,8,60660,0,,2586116.0,False,Compliant,18.03,103,1.6380092438100413,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,1.0,14,137350,0,89.0,6366084.5,False,Compliant,202.99,94,1.624196325423567,1,True,True,False,medium electricity consuming buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,63540,0,72.0,3518459.5,False,Compliant,74.83,117,1.372201061702867,1,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,1.0,10,130893,0,80.0,6962073.0,False,Compliant,48.54,96,1.452680907533407,3,True,False,False,medium electricity consuming buildings,Neighborhood with high electricity consumption
Mixed Use Property,DOWNTOWN,1.0,5,79920,0,,3009463.75,False,Compliant,20.98,113,1.4302877629485127,3,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Other,DOWNTOWN,0.0,4,267335,166960,,7273155.5,False,Compliant,147.75,27,1.8217776605125096,3,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Large Office,DOWNTOWN,1.0,12,115857,15140,89.0,4757299.5,False,Compliant,33.17,37,1.185713261672597,3,True,False,False,medium electricity consuming buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,87500,17500,72.0,4549892.0,False,Compliant,31.72,24,0.651836073389211,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,52800,0,83.0,2429021.0,False,Compliant,44.48,98,1.134598261573192,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Other,DOWNTOWN,1.0,6,1400000,0,,0.0,False,Non-Compliant,0.0,33,2.0908884769648375,2,False,False,False,low electricity consumption buildings,Neighborhood with high electricity consumption
