PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ENERGYSTARScore,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,BuildingAge,distance_center,nb_use_types,Electricity,SteamUse,NaturalGas,Buildings Consumption,Neighborhood Consumption
Supermarket / Grocery Store,SOUTHWEST,1.0,1,33706,0,22.0,8687690.0,False,Compliant,206.33,25,6.103696706004183,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHEAST,1.0,3,27984,0,25.0,1059605.625,False,Compliant,7.39,60,8.540689009371143,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,2,37600,0,,2171751.5,False,Compliant,93.55,62,3.13798622207177,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
High-Rise Multifamily,EAST,1.0,10,139127,0,68.0,5106786.5,False,Compliant,35.6,54,2.474740239560698,1,True,False,False,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,4,26153,0,80.0,593543.3125,False,Compliant,4.14,58,2.6073417898108624,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,EAST,1.0,5,32980,0,72.0,1383204.25,False,Compliant,35.36,95,2.6674308993650904,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
High-Rise Multifamily,DOWNTOWN,1.0,26,187080,0,86.0,6454820.0,False,Compliant,96.2,50,0.9499649747512287,2,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
High-Rise Multifamily,EAST,1.0,21,94000,0,,5143676.5,False,Compliant,109.72,53,2.3712645486479205,3,True,False,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,35333,0,61.0,919909.6875,False,Compliant,6.41,49,8.15608255773951,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHWEST,1.0,4,39331,0,52.0,1326764.25,False,Compliant,20.21,19,3.131808696201114,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,LAKE UNION,1.0,4,57486,0,93.0,1297633.75,False,Compliant,9.05,15,3.377354475495373,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
K-12 School,NORTHWEST,1.0,1,42128,0,93.0,1709307.5,False,Compliant,49.55,69,5.198401335865669,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,4,77966,0,85.0,2993032.25,False,Compliant,89.29,41,5.834298453753386,3,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,MAGNOLIA / QUEEN ANNE,1.0,3,28944,0,39.0,864751.8125,False,Compliant,8.95,58,5.946324630813014,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,DOWNTOWN,1.0,5,30189,0,,729361.625,False,Compliant,10.81,119,2.5359831392548817,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mixed Use Property,Central,1.0,4,44432,0,,1396280.25,False,Compliant,31.47,19,4.770311419989335,5,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,SOUTHWEST,1.0,3,23671,0,50.0,839362.0,False,Compliant,21.74,97,4.677633114904532,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
K-12 School,BALLARD,1.0,2,44753,0,96.0,1638691.625,True,Error - Correct Default Data,61.25,91,5.840955693188838,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,EAST,0.0,4,20380,0,2.0,1310280.75,False,Compliant,9.13,34,2.9590750841242115,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,CENTRAL,1.0,4,29808,0,80.0,975327.0,False,Compliant,26.87,21,4.315451123885526,2,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,EAST,1.0,4,27878,0,53.0,658297.5,False,Compliant,4.59,54,3.5840060805755676,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,3,23597,0,,2225265.5,False,Compliant,77.12,113,3.04493618238591,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,EAST,1.0,3,33708,0,,786324.0,False,Compliant,19.61,111,3.0611796890672265,1,True,True,True,low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,3,24682,0,74.0,2681771.0,False,Non-Compliant,96.18,113,3.077529481400928,2,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Mid-Rise Multifamily,SOUTHEAST,1.0,5,121773,25568,81.0,2986728.0,False,Compliant,63.57,11,8.08284504758159,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,50095,0,83.0,981242.3125,False,Compliant,6.84,29,7.946686094847529,3,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
High-Rise Multifamily,DOWNTOWN,1.0,12,175353,0,53.0,6074249.0,False,Compliant,126.53,16,0.23554532088007965,5,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,GREATER DUWAMISH,1.0,4,26245,0,76.0,750583.625,False,Compliant,5.23,43,4.845041749894736,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTHWEST,1.0,3,103345,0,42.0,4018570.0,False,Compliant,74.92,36,5.499531996186262,1,True,False,True,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,NORTHWEST,1.0,6,93191,0,96.0,1878442.25,False,Compliant,13.1,18,5.471086271297318,2,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,North,1.0,4,40317,0,51.0,942712.5,False,Compliant,6.57,24,6.767035125166985,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,LAKE UNION,1.0,4,31500,0,94.0,495152.6875,False,Compliant,3.45,32,2.299804582688341,2,True,False,False,very low electricity consumption buildings,Neighborhood with high electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,21520,0,88.0,440870.4063,False,Compliant,3.07,47,7.833684201917497,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,4,21580,0,,467930.0,False,Compliant,3.26,47,7.856330301692417,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,97254,0,73.0,2220053.25,False,Compliant,15.48,54,7.819114711976745,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,28899,0,65.0,919266.125,False,Compliant,6.41,48,7.676170627932427,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,North,1.0,3,57496,0,82.0,1204956.5,False,Compliant,8.4,48,7.633143605087662,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,North,1.0,4,48863,0,86.0,1070085.375,False,Compliant,7.46,38,7.701007139644663,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,North,1.0,4,165694,0,67.0,4425832.5,False,Compliant,30.85,57,7.674660260261862,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,North,1.0,3,143369,0,82.0,3190328.0,False,Compliant,22.24,55,7.701631460055382,2,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,North,1.0,3,44230,0,64.0,1859571.875,False,Compliant,12.96,47,7.726484192755022,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Other,North,1.0,2,47237,0,,5981430.0,False,Compliant,41.7,75,7.803209944748946,1,True,False,False,low electricity consumption buildings,Neighborhood with avery low electricity consumption
High-Rise Multifamily,DOWNTOWN,1.0,13,187139,0,49.0,6772289.0,False,Compliant,102.6,16,0.41418539539862165,1,True,False,True,low electricity consumption buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,EAST,2.0,5,57091,0,81.0,1436109.0,False,Compliant,10.01,33,2.741913378228938,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,NORTHEAST,4.0,3,30240,0,55.0,855946.0,False,Compliant,5.97,65,5.705009632514043,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTH,1.0,3,21798,0,65.0,558893.375,False,Compliant,3.9,44,6.797454847371959,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Low-Rise Multifamily,NORTHEAST,1.0,3,42448,0,66.0,1247918.0,False,Compliant,8.7,42,6.7012698201774725,1,True,False,False,very low electricity consumption buildings,Neighborhood with medium electricity consumption
Mid-Rise Multifamily,LAKE UNION,1.0,5,125241,0,93.0,5614256.5,False,Compliant,187.97,21,2.130028029546348,2,True,False,True,very low electricity consumption buildings,Neighborhood with high electricity consumption
Mid-Rise Multifamily,SOUTHWEST,1.0,6,21900,0,,592899.0,False,Compliant,16.43,26,5.123892951477962,1,True,False,True,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
Low-Rise Multifamily,EAST,1.0,4,32430,0,82.0,847514.5,False,Compliant,5.91,92,2.989294157651554,1,True,False,False,very low electricity consumption buildings,Neighborhood with avery low electricity consumption
